constituency,candidate_number,candidate_name,party,total_votes,avg_votes_per_station,max_votes_in_station,station_count,vote_share
1,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,43340,146.4189189189189,555,296,0.39746881878209833
1,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,22643,75.98322147651007,520,298,0.20765774027879677
1,3,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย,10907,36.600671140939596,520,298,0.10002751283932503
1,7,นางสาวอมลยา เจนตวนิชย์,พรรคประชาธิปัตย์,7281,24.18936877076412,520,301,0.06677366104181952
1,1,นายอธิวัฒน์ ศรีไชยยานุพันธ์,พรรคคล้ายธรรม,5878,19.65886287625418,520,299,0.0539068231841526
1,9,นายก้องเกียรติ มาทา,พรรครวมไทยสร้างชาติ,5774,19.182724252491695,520,301,0.05295304475421864
1,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ,5052,16.896321070234112,520,299,0.04633162142333089
1,2,นายบุญเชิด พรมศร,พรรคโอกาสใหม่,4758,15.807308970099667,520,301,0.04363536316947909
1,5,นายนริศ แสงบุญเรือง,พรรคไทยก้าวใหม่,3407,11.356666666666667,520,300,0.031245414526779165
1,10,,,0,0.0,0,14,0.0
1,11,,,0,0.0,0,13,0.0
