จังหวัด,เขต,หมายเลข,พรรค,คะแนน
ลำปาง,1,1,ไทยทรัพย์ทวี,1200
ลำปาง,1,2,เพื่อชาติไทย,2078
ลำปาง,1,3,ใหม่,747
ลำปาง,1,4,มิติใหม่,1400
ลำปาง,1,5,รวมใจไทย,686
ลำปาง,1,6,รวมไทยสร้างชาติ,1905
ลำปาง,1,7,พลวัต,545
ลำปาง,1,8,ประชาธิปไตยใหม่,1396
ลำปาง,1,9,เพื่อไทย,20531
ลำปาง,1,10,ทางเลือกใหม่,775
ลำปาง,1,11,เศรษฐกิจ,2818
ลำปาง,1,12,เสรีรวมไทย,510
ลำปาง,1,13,รวมพลังประชาชน,801
ลำปาง,1,14,ท้องที่ไทย,176
ลำปาง,1,15,อนาคตไทย,130
ลำปาง,1,16,พลังเพื่อไทย,326
ลำปาง,1,17,ไทยชนะ,306
ลำปาง,1,18,พลังสังคมใหม่,79
ลำปาง,1,19,สังคมประชาธิปไตยไทย,113
ลำปาง,1,20,ฟิวซัน,79
ลำปาง,1,21,ไทรวมพลัง,87
ลำปาง,1,22,ก้าวล่วง,75
ลำปาง,1,23,ปวงชนไทย,94
ลำปาง,1,24,วิชชั่นใหม่,135
ลำปาง,1,25,เพื่อชีวิตใหม่,85
ลำปาง,1,26,คลองไทย,302
ลำปาง,1,27,ประชาธิปัตย์,4354
ลำปาง,1,28,ไทยก้าวหน้า,300
ลำปาง,1,29,ไทยภักดี,690
ลำปาง,1,30,แรงงานสร้างชาติ,193
ลำปาง,1,31,ประชากรไทย,205
ลำปาง,1,32,ครูไทยเพื่อประชาชน,196
ลำปาง,1,33,ประชาชาติ,225
ลำปาง,1,34,สร้างอนาคตไทย,176
ลำปาง,1,35,รักชาติ,221
ลำปาง,1,36,ไทยพร้อม,646
ลำปาง,1,37,ภูมิใจไทย,10962
ลำปาง,1,38,พลังธรรมใหม่,352
ลำปาง,1,39,กรีน,155
ลำปาง,1,40,ไทยธรรม,160
ลำปาง,1,41,แผ่นดินธรรม,126
ลำปาง,1,42,กล้าธรรม,794
ลำปาง,1,43,พลังประชารัฐ,245
ลำปาง,1,44,โอกาสใหม่,360
ลำปาง,1,45,เป็นธรรม,1252
ลำปาง,1,46,ประชาชน,37374
ลำปาง,1,47,ประชาไทย,817
ลำปาง,1,48,ไทยสร้างไทย,678
ลำปาง,1,49,ไทยก้าวใหม่,574
ลำปาง,1,50,ประชาอาสาชาติ,102
ลำปาง,1,51,พร้อม,142
ลำปาง,1,52,เครือข่ายชาวนาแห่งประเทศไทย,122
ลำปาง,1,53,ไทยพิทักษ์ธรรม,133
ลำปาง,1,54,ความหวังใหม่,111
ลำปาง,1,55,ไทยรวมไทย,130
ลำปาง,1,56,เพื่อบ้านเมือง,240
ลำปาง,1,57,พลังไทยรักชาติ,1599
